"","SubjectNo","Education"
"1",1,"SomeHigh"
"2",1,"SomeHigh"
"3",1,"SomeHigh"
"4",1,"SomeHigh"
"5",1,"SomeHigh"
"6",1,"SomeHigh"
"7",1,"SomeHigh"
"8",1,"SomeHigh"
"9",1,"SomeHigh"
"10",1,"SomeHigh"
"11",1,"SomeHigh"
"12",1,"SomeHigh"
"13",1,"SomeHigh"
"14",1,"SomeHigh"
"15",1,"SomeHigh"
"16",1,"SomeHigh"
"17",1,"SomeHigh"
"18",1,"SomeHigh"
"19",1,"SomeHigh"
"20",1,"SomeHigh"
"21",1,"SomeHigh"
"22",1,"SomeHigh"
"23",1,"SomeHigh"
"24",1,"SomeHigh"
"25",1,"SomeHigh"
"26",1,"SomeHigh"
"27",1,"SomeHigh"
"28",1,"SomeHigh"
"29",1,"SomeHigh"
"30",1,"SomeHigh"
"31",1,"SomeHigh"
"32",1,"SomeHigh"
"33",1,"SomeHigh"
"34",1,"SomeHigh"
"35",1,"SomeHigh"
"36",1,"SomeHigh"
"37",1,"SomeHigh"
"38",1,"SomeHigh"
"39",1,"SomeHigh"
"40",1,"SomeHigh"
"41",1,"SomeHigh"
"42",1,"SomeHigh"
"43",1,"SomeHigh"
"44",1,"SomeHigh"
"45",1,"SomeHigh"
"46",1,"SomeHigh"
"47",1,"SomeHigh"
"48",1,"SomeHigh"
"49",1,"SomeHigh"
"50",1,"SomeHigh"
"51",1,"SomeHigh"
"52",1,"SomeHigh"
"53",1,"SomeHigh"
"54",1,"SomeHigh"
"55",1,"SomeHigh"
"56",1,"SomeHigh"
"57",1,"SomeHigh"
"58",1,"SomeHigh"
"59",1,"SomeHigh"
"60",1,"SomeHigh"
"61",1,"SomeHigh"
"62",1,"SomeHigh"
"63",1,"SomeHigh"
"64",1,"SomeHigh"
"65",1,"SomeHigh"
"66",1,"SomeHigh"
"67",1,"SomeHigh"
"68",1,"SomeHigh"
"69",1,"SomeHigh"
"70",1,"SomeHigh"
"71",1,"SomeHigh"
"72",1,"SomeHigh"
"73",1,"SomeHigh"
"74",1,"SomeHigh"
"75",1,"SomeHigh"
"76",1,"SomeHigh"
"77",1,"SomeHigh"
"78",1,"SomeHigh"
"79",1,"SomeHigh"
"80",1,"SomeHigh"
"81",1,"SomeHigh"
"82",1,"SomeHigh"
"83",1,"SomeHigh"
"84",1,"SomeHigh"
"85",1,"SomeHigh"
"86",1,"SomeHigh"
"87",1,"SomeHigh"
"88",1,"SomeHigh"
"89",1,"SomeHigh"
"90",1,"SomeHigh"
"91",1,"SomeHigh"
"92",1,"SomeHigh"
"93",1,"SomeHigh"
"94",1,"SomeHigh"
"95",1,"SomeHigh"
"96",1,"SomeHigh"
"97",1,"SomeHigh"
"98",1,"SomeHigh"
"99",1,"SomeHigh"
"100",1,"SomeHigh"
"101",1,"SomeHigh"
"102",1,"SomeHigh"
"103",1,"SomeHigh"
"104",1,"SomeHigh"
"105",1,"SomeHigh"
"106",1,"SomeHigh"
"107",1,"SomeHigh"
"108",1,"SomeHigh"
